SiteYear,otu,rank,Tissue,otu,rank,Fortnight,otu,rank,otu,RSY,RT,RF,Rsum,Ravg,,otu,Composite Rank,ID,Bolded taxa are hub taxa within at least one site-year
6,OTU_1,0.78689769,5,OTU_1,0.82582428,6,OTU_1,0.792581513,OTU_1,6,5,6,17,5.666666667,,OTU_2,1,Alternaria,
20,OTU_10,0.368471818,26,OTU_10,0.318841305,20,OTU_10,0.365722632,OTU_10,20,26,20,66,22,,OTU_5,2,Cladosporium,
38,OTU_102,0.217236274,37,OTU_102,0.254758725,36,OTU_102,0.21994886,OTU_102,38,37,36,111,37,,OTU_3,3,Epicoccum nigrum,
41,OTU_11,0.212198019,45,OTU_11,0.172129275,43,OTU_11,0.209409632,OTU_11,41,45,43,129,43,,OTU_4,4,Aureobasidium pullulans,
8,OTU_12,0.587278154,10,OTU_12,0.580416969,9,OTU_12,0.59752842,OTU_12,8,10,9,27,9,,OTU_13,5,Alternaria,
5,OTU_13,0.809542222,6,OTU_13,0.81393164,5,OTU_13,0.820478823,OTU_13,5,6,5,16,5.333333333,,OTU_1,6,Cladosporium herbarum,
11,OTU_14,0.494369624,11,OTU_14,0.558856537,11,OTU_14,0.487701713,OTU_14,11,11,11,33,11,,OTU_20,7,Neosetophoma,
9,OTU_15,0.583156325,8,OTU_15,0.606830377,8,OTU_15,0.599864706,OTU_15,9,8,8,25,8.333333333,,OTU_15,8,Dioszegia hungarica,
25,OTU_16,0.317195851,27,OTU_16,0.312042641,23,OTU_16,0.337002869,OTU_16,25,27,23,75,25,,OTU_12,9,Sporobolomyces roseus,
19,OTU_17,0.368629578,22,OTU_17,0.362048611,19,OTU_17,0.375420884,OTU_17,19,22,19,60,20,,OTU_8,10,Filobasidium,
13,OTU_18,0.477350447,14,OTU_18,0.472120698,13,OTU_18,0.478955517,OTU_18,13,14,13,40,13.33333333,,OTU_14,11,Lemonniera,
24,OTU_19,0.325787248,28,OTU_19,0.308095806,25,OTU_19,0.311443379,OTU_19,24,28,25,77,25.66666667,,OTU_6,12,Leotiomycetes,
1,OTU_2,0.977142054,1,OTU_2,1.408886484,1,OTU_2,1.548304469,OTU_2,1,1,1,3,1,,OTU_18,13,Taphrina inositophila,
7,OTU_20,0.654068517,7,OTU_20,0.684002713,7,OTU_20,0.669531905,OTU_20,7,7,7,21,7,,OTU_25,14,Cladosporium,
16,OTU_21,0.409765428,15,OTU_21,0.462423531,17,OTU_21,0.416298274,OTU_21,16,15,17,48,16,,OTU_7,15,Sporobolomyces,
22,OTU_23,0.356096289,18,OTU_23,0.38582139,24,OTU_23,0.330152069,OTU_23,22,18,24,64,21.33333333,,OTU_21,16,Phaeosphaeria,
15,OTU_25,0.424904466,13,OTU_25,0.484496251,14,OTU_25,0.437798513,OTU_25,15,13,14,42,14,,OTU_30,17,Symmetrospora,
21,OTU_26,0.365372287,19,OTU_26,0.373047489,21,OTU_26,0.359660066,OTU_26,21,19,21,61,20.33333333,,OTU_40,18,Pseudopithomyces chartarum,
37,OTU_27,0.219840349,44,OTU_27,0.205588439,38,OTU_27,0.217572411,OTU_27,37,44,38,119,39.66666667,,OTU_17,19,Filobasidium floriforme,
46,OTU_28,0.199393568,46,OTU_28,0.165966402,46,OTU_28,0.198540111,OTU_28,46,46,46,138,46,,OTU_26,20,Nothophoma quercina,
3,OTU_3,0.908709236,3,OTU_3,1.067890927,3,OTU_3,0.905979877,OTU_3,3,3,3,9,3,,OTU_23,21,Taphrina letifera,
17,OTU_30,0.407223704,16,OTU_30,0.406065358,16,OTU_30,0.417566753,OTU_30,17,16,16,49,16.33333333,,OTU_50,22,Vishniacozyma victoriae,
31,OTU_33,0.246720531,32,OTU_33,0.275201245,32,OTU_33,0.242353377,OTU_33,31,32,32,95,31.66666667,,OTU_10,23,Erythrobasidium,
27,OTU_36,0.305383987,31,OTU_36,0.281697566,27,OTU_36,0.289187141,OTU_36,27,31,27,85,28.33333333,,OTU_16,24,Bullera alba,
26,OTU_37,0.310054835,25,OTU_37,0.322839859,28,OTU_37,0.285662788,OTU_37,26,25,28,79,26.33333333,,OTU_19,25,Filobasidium wieringae,
32,OTU_38,0.240233149,34,OTU_38,0.261624995,31,OTU_38,0.247720407,OTU_38,32,34,31,97,32.33333333,,OTU_37,26,Ramularia,
4,OTU_4,0.838723514,4,OTU_4,0.838657928,4,OTU_4,0.830080567,OTU_4,4,4,4,12,4,,OTU_53,27,Dothiora,
18,OTU_40,0.384129746,21,OTU_40,0.364742592,18,OTU_40,0.381051987,OTU_40,18,21,18,57,19,,OTU_41,28,Symmetrospora oryzicola,
28,OTU_41,0.297551257,29,OTU_41,0.291928658,26,OTU_41,0.291527009,OTU_41,28,29,26,83,27.66666667,,OTU_47,29,Septoriella,
30,OTU_47,0.267942718,24,OTU_47,0.324264196,30,OTU_47,0.265433118,OTU_47,30,24,30,84,28,,OTU_36,30,Taphrina,
2,OTU_5,0.92239287,2,OTU_5,1.220968758,2,OTU_5,0.917131458,OTU_5,2,2,2,6,2,,OTU_33,31,Filobasidium,
23,OTU_50,0.353208498,20,OTU_50,0.36857494,22,OTU_50,0.354551338,OTU_50,23,20,22,65,21.66666667,,OTU_59,32,Neoascochyta dactylidis,
44,OTU_51,0.207266052,35,OTU_51,0.261402392,40,OTU_51,0.213839238,OTU_51,44,35,40,119,39.66666667,,OTU_38,33,Botrytis cinerea,
29,OTU_53,0.286216437,23,OTU_53,0.325577554,29,OTU_53,0.277997097,OTU_53,29,23,29,81,27,,OTU_61,34,Vishniacozyma globispora,
34,OTU_568,0.232035522,39,OTU_568,0.241743507,37,OTU_568,0.218604762,OTU_568,34,39,37,110,36.66666667,,OTU_568,35,Taphrina,
33,OTU_59,0.23831744,30,OTU_59,0.285972501,33,OTU_59,0.23644108,OTU_59,33,30,33,96,32,,OTU_102,36,Septoriella,
12,OTU_6,0.490841171,12,OTU_6,0.507186157,12,OTU_6,0.485481975,OTU_6,12,12,12,36,12,,OTU_71,37,Pyrenophora tritici-repentis,
36,OTU_61,0.227609055,36,OTU_61,0.258907439,34,OTU_61,0.230315131,OTU_61,36,36,34,106,35.33333333,,OTU_91,38,Phaeosphaeria,
43,OTU_69,0.209195988,33,OTU_69,0.262887097,42,OTU_69,0.210290887,OTU_69,43,33,42,118,39.33333333,,OTU_69,39,Ramularia gaultheriae,
14,OTU_7,0.426003759,17,OTU_7,0.393690524,15,OTU_7,0.42937051,OTU_7,14,17,15,46,15.33333333,,OTU_27,41,Seimatosporium,
35,OTU_71,0.230049094,38,OTU_71,0.242323474,41,OTU_71,0.213092051,OTU_71,35,38,41,114,38,,OTU_51,41,Septoriella oudemansii,
40,OTU_77,0.212785118,41,OTU_77,0.229789403,39,OTU_77,0.215809811,OTU_77,40,41,39,120,40,,OTU_77,42,Fusarium,
45,OTU_79,0.204833964,40,OTU_79,0.238195313,45,OTU_79,0.200643039,OTU_79,45,40,45,130,43.33333333,,OTU_11,44,Peltaster fructicola,
10,OTU_8,0.545524238,9,OTU_8,0.581238484,10,OTU_8,0.557941642,OTU_8,10,9,10,29,9.666666667,,OTU_88,44,Fraxinicola europaea,
42,OTU_88,0.209625328,43,OTU_88,0.225781065,44,OTU_88,0.20435526,OTU_88,42,43,44,129,43,,OTU_79,45,Pleosporales,
39,OTU_91,0.216118987,42,OTU_91,0.226058737,35,OTU_91,0.221587683,OTU_91,39,42,35,116,38.66666667,,OTU_28,46,Peltaster gemmifer,
